A,B,C,D
7.1527026e-14,663205.56,24.91708,3.306954e-11
7.1527026e-14,663205.56,24.91708,3.306954e-11
1.6229968e-13,662988.2,36.808704,2.7594467e-11
1.2506643e-13,663038.5,105.8484,3.2948602e-11
41.918015,0.0,10548.187,0.0
34.09192,3587.2812,20000.0,3.8284136e-21
342.12506,995370.5,5995.168,0.2383061
337.73013,907082.56,20000.0,7.8875324e-8
65.463264,25814.764,20000.0,0.000103144106
17.026264,37384.766,20000.0,1.2499964e-8
17.68263,37192.348,19999.807,1.9929235e-5
24.823158,35398.812,19877.236,0.018823102
111.356125,54682.688,11196.792,18.86898
31.272076,1.1080641e-16,8197.537,7.306234e-38
113.96396,20885.822,20000.0,0.00035089668
419.06522,3780.2693,0.08792996,0.022994036
58.131523,24468.152,20000.0,0.00024452765
82.681915,24030.447,20000.0,9.436982e-12
32.601254,29228.766,20000.0,0.00016930766
33.178295,33156.754,19919.045,0.01736629
38.29735,31905.594,19934.178,0.016633661
25.423988,51042.98,20000.0,0.0
42.415455,102273.54,20000.0,5.3900938e-14
