A,B,C,D
9.612799e-13,655099.94,2.7834601,3.897422e-9
9.612799e-13,655099.94,2.7834601,3.897422e-9
2.94673,36657.074,20000.0,7.5585667e-6
6.473617e-12,642632.56,837.4001,2.6680678e-11
2.1925532e-12,654978.3,4.177524,3.2020089e-9
1.3518166e-12,652926.4,4.790708,3.3809007e-9
9.612799e-13,655099.94,2.7834601,3.897422e-9
9.612799e-13,655099.94,2.7834601,3.897422e-9
1.5268881,42311.523,20000.0,4.2096292e-24
2.1925532e-12,654978.3,4.177524,3.2020089e-9
6.472124e-12,642632.4,837.2706,2.6678645e-11
1.6796112,51314.55,11940.091,0.002024213
94.36817,1.0e6,1.4143078e-6,1.2432145e-7
8.010854e-13,654909.9,2.536436,3.5629404e-9
1.5077524e-12,654311.06,3.4602463,2.6551377e-9
7.0002427,337532.7,10368.996,0.0
4360.386,51789.746,1.5460542e-12,2000.0
4.9706647e-13,651926.44,94.65479,6.4786204e-11
94.36748,1.0e6,3.9740218e-11,2.2684552e-11
4589.5127,54852.38,1.0849604e-12,2000.0
3.450869e-13,654194.94,1.6628836,2.3379372e-9
2.0285444,37515.51,12394.342,1.1116007e-37
7.5402835e-13,653313.6,2.4427912,1.8775386e-9
