A,B,C,D
6.8909787e-13,654763.06,2.354093,3.3013365e-9
6.8909787e-13,654763.06,2.354093,3.3013365e-9
6.8909787e-13,654763.06,2.354093,3.3013365e-9
2.4203074,244510.48,20000.0,2.619755e-5
6.8909787e-13,654763.06,2.354093,3.3013365e-9
1.5719105e-12,654380.4,3.5336337,2.710971e-9
6.8909787e-13,654763.06,2.354093,3.3013365e-9
1.5719105e-12,654380.4,3.5336337,2.710971e-9
6.8909787e-13,654763.06,2.354093,3.3013365e-9
6.8909787e-13,654763.06,2.354093,3.3013365e-9
8.670929e-13,654990.94,2.6426384,3.7021115e-9
1.4599808e-12,653023.6,4.9797115,3.5136034e-9
1.766961e-12,653277.44,5.4812107,3.8650976e-9
4.953685e-12,651175.6,12.185521,3.5565253e-9
1.677624e-12,655770.25,3.6856153,5.143553e-9
1.8968882e-12,655937.4,3.9209983,5.4684812e-9
2.0673669e-15,656056.5,0.12895252,1.8094204e-10
2.210187e-12,656155.9,4.235535,5.9010676e-9
29.97686,189258.12,1808.3677,0.0
2.3588748e-12,656252.1,4.3771358,6.0954854e-9
2.4396468e-12,656303.25,4.452203,6.1985443e-9
2.4322996,244863.73,19908.771,0.0059692133
5.8965216e-12,657244.06,6.8786387,5.2519904e-9
