A,B,C,D
4.670852e-14,662426.0,0.6205791,8.569175e-10
4.670852e-14,662426.0,0.6205791,8.569175e-10
4.670852e-14,662426.0,0.6205791,8.569175e-10
4.670852e-14,662426.0,0.6205791,8.569175e-10
6.5704454e-14,662155.4,1.0681006,7.450555e-10
1.0520541e-13,667439.8,29.705755,2.2218774e-11
878.3661,1.0e6,7.2462186e-13,2.7581247e-13
3.1912358,43256.074,19003.227,0.0152895395
2.6307402,8226.145,1631.6547,1.3136359e-10
3.1373665e-10,668093.5,193.25816,5.7869465e-9
4.7466842e-14,662521.5,20.18036,2.7015935e-11
1.1093216e-13,662547.6,0.947285,7.2047557e-10
1.5989479,97012.34,20000.0,5.5576393e-6
3.9107296,36380.297,20000.0,1.1861465e-14
3.3603131e-10,668355.2,200.24632,5.983826e-9
94.364395,1.0e6,7.2340727e-16,1.7104671e-16
1.1469562e-13,651738.25,30.443985,2.3169466e-11
4.9718666,34110.473,19121.867,3.7877642e-11
1.9719285,36854.758,20000.0,0.0
3.5466308e-10,669267.44,205.76433,6.1532694e-9
3.5952508e-10,662367.44,207.1832,6.141843e-9
2.1519797,39412.99,18296.746,1.7662996e-5
1.2447865e-13,662858.8,1.0038337,7.632439e-10
