A,B,C,D
7.041207e-14,663184.0,24.716341,3.2814623e-11
7.041207e-14,663184.0,24.716341,3.2814623e-11
127.13659,11062.711,19999.998,0.0
5.971178,40706.797,19991.854,2.154244e-5
9.516033,34794.254,20000.0,0.0
34.84407,28754.744,20000.0,0.0
33.354248,29068.564,20000.0,2.0407515e-17
12.429567,39326.715,19930.174,0.015778476
4.133803,333680.2,20000.0,0.00024997778
1.5977736e-13,671016.3,36.901733,2.7377057e-11
8.90461,48320.094,20000.0,0.0
6.1999693,41879.395,19285.982,0.02232375
39.219963,27858.857,20000.0,0.0
26.269594,56316.3,15340.091,0.0
10.250399,39450.785,20000.0,6.583261e-36
14.90346,21575.389,20000.0,0.0
53.584713,57143.39,13757.69,0.0
17.45327,32862.62,19999.879,1.2629602e-5
31.84763,29393.186,20000.0,0.00011135456
5.76092,37677.508,20000.0,2.192815e-10
11.770503,45683.32,20000.0,1.5067173e-17
10.6580715,49685.19,20000.0,7.2646394e-21
5.454949,9158.637,19999.762,0.001858778
