A,B,C,D
6.734859e-14,663117.5,0.74623907,1.0285227e-9
9.348582e-14,663104.6,40.901287,2.8092325e-11
36.246353,0.0,8618.576,0.0
759.11237,1.0e6,1186.9824,0.00027937972
16.581894,32978.15,20000.0,2.2983139e-12
649.6014,1.0e6,4123.889,2.1270981e-13
301.28317,995869.0,10642.242,0.0
8.604704,35073.887,20000.0,8.567206e-19
2.4696715,77701.414,19908.926,12.271168
144.80644,999990.0,0.0032988824,0.002801499
147.02995,1.0e6,2320.776,0.002385637
0.96378356,82.687546,11095.601,0.0
1048.9147,999999.75,0.0012143207,0.00032440262
6.751147,35580.47,20000.0,2.3656776e-5
354.56625,1.0e6,6242.9116,0.00032072974
9.489214,57553.863,20000.0,0.0
0.83073246,0.0,11821.568,53.07368
13.588177,0.0025665902,1872.3131,0.0
554.7477,754123.5,3.37207,0.6833846
187.1379,989245.4,4.8350825,2.796401
4.8659554,36109.215,20000.0,1.01878506e-10
6.096307,90436.23,20000.0,7.4633334e-11
190.13512,1.0e6,3999.6401,3.8963147e-13
