A,B,C,D
6.992144e-14,653393.3,24.19568,3.2851753e-11
6.992144e-14,653393.3,24.19568,3.2851753e-11
203.16681,52938.59,20000.0,0.0
3.4127805,39467.008,11023.135,1.029586e-8
4.7464427e-10,669597.4,236.74893,7.1602826e-9
14.364057,38178.82,20000.0,1.0079455e-18
11.638435,39015.69,20000.0,1.5879226e-16
5.812507,35840.92,20000.0,0.0
2.8165026,118995.46,20000.0,1.09274914e-7
9.8046605e-14,663161.56,41.904297,2.8769417e-11
8.844759,39897.01,20000.0,0.0
10.946786,39233.21,20000.0,4.113794e-17
184.55617,1.0e6,18870.91,2.2566036e-34
7.8814983,37439.78,20000.0,1.5817533e-5
1.6116083e-13,663167.2,1.1426792,8.6849594e-10
4.744213e-10,669608.44,236.67953,7.1591004e-9
15.035362,37975.957,20000.0,1.5628352e-18
9.690892,35372.207,19623.05,0.0199271
22.807596,35732.25,19999.865,1.845668e-5
4.532618,225286.83,19998.406,0.0005026988
4.7455323e-10,666365.8,236.90712,7.1254163e-9
18.43725,64541.82,20000.0,4.400472e-17
7.066276e-14,662884.0,0.76406217,1.0536443e-9
