A,B,C,D
6.370966e-14,663022.9,0.7256557,1.0004133e-9
6.370966e-14,663022.9,0.7256557,1.0004133e-9
28.906223,1.1561627e-14,6230.1567,1.2205959e-17
7.421023,40355.258,20000.0,2.454481e-11
32.162586,22598.049,1926.2421,1.0488748e-10
8.844749,39893.36,20000.0,1.6405053e-26
742.2822,1.0e6,1076.2269,0.001426497
17.595694,86900.24,20000.0,1.296217e-15
15.156496,247631.33,20000.0,2.7128859e-5
4.8895836,10575.719,20000.0,1.8719225e-5
2.1276247e-13,662821.7,81.085434,2.362839e-11
320.52933,1.0e6,500.01526,0.0008318511
927.95416,1.0e6,665.8264,4.9839033e-19
6.7516055,35582.754,20000.0,1.6678214e-11
9.51979,34825.793,20000.0,0.0
21.330467,674950.8,20000.0,7.366753e-5
16.857363,244818.7,20000.0,0.0
546.8181,1.0e6,1.2126695e-9,6.461954e-10
15.100278,0.0,875.1393,0.0
94.363365,1.0e6,1.7159941e-20,2.8579843e-5
4.2957915e-10,661265.75,225.9179,6.720816e-9
4.2919193e-10,661296.4,225.82677,6.717724e-9
4.291759e-10,665746.06,225.54985,6.763269e-9
