A,B,C,D
2.3503064e-12,656246.6,4.3691034,6.0844414e-9
2.3503064e-12,656246.6,4.3691034,6.0844414e-9
4.1346744e-12,647468.44,18.875032,5.902454e-9
17.146666,36051.125,19995.072,0.00069765537
1.581101e-11,643647.2,44.056774,1.2404122e-9
1.5811581e-11,643132.56,44.066345,1.2393694e-9
6.8075747,635770.8,20000.0,1.791135e-16
1.974858,6686.745,20000.0,5.9209993e-5
2.3503064e-12,656246.6,4.3691034,6.0844414e-9
31.615076,989497.6,0.87015873,0.49394822
2.4904755e-12,656336.75,4.498845,6.2624967e-9
3.656635e-12,654425.5,7.904444,5.5597402e-9
6.2876765e-12,657417.4,7.105262,5.423569e-9
2.0153608e-11,642713.2,49.748734,1.3985264e-9
2.2456566e-11,643707.44,52.48287,1.4790316e-9
8.690428e-12,658336.44,8.367466,6.3767516e-9
3.0228705e-11,644609.44,60.85059,1.7191217e-9
5.6272984,11878.346,791.6348,0.0011399414
31.378084,590635.3,10842.454,0.012834389
1.7061214e-11,660255.4,11.768717,8.937279e-9
2.051351e-11,661342.0,12.939979,9.792187e-9
3.3379705e-14,662118.4,14.576818,1.18227095e-11
1.1417049e-14,659114.25,9.735288,1.33473675e-11
